id,val1,val2
98960,8,151
98960,78,370
98960,62,419
98960,0,445
98960,47,113
98960,98,457
98960,45,177
98960,1,327
98960,13,215
98960,75,163
24327,5,61
24327,65,337
24327,95,194
24327,20,167
24327,49,431
24327,62,479
24327,4,125
24327,96,468
24327,87,213
24327,22,257
23253,59,75
23253,38,219
23253,50,41
23253,76,261
23253,64,18
23253,59,35
23253,78,67
23253,67,452
23253,0,484
23253,61,278
11847,69,140
11847,34,274
11847,21,62
11847,17,313
11847,57,353
11847,84,5
11847,30,120
11847,73,380
11847,18,284
11847,59,197
20279,2,83
20279,67,42
20279,35,21
20279,14,315
20279,67,319
20279,88,117
20279,3,148
20279,75,332
20279,52,487
20279,53,271
