id,val1,val2
35053,45,15
35053,62,336
35053,96,74
35053,64,361
35053,17,33
35053,9,109
35053,19,35
35053,88,147
35053,16,190
35053,99,496
80111,52,484
80111,4,64
80111,20,354
80111,100,493
80111,35,323
80111,35,193
80111,1,499
80111,10,132
80111,93,284
80111,11,6
28649,80,487
28649,59,310
28649,25,96
28649,51,64
28649,96,393
28649,24,260
28649,34,234
28649,95,132
28649,39,426
28649,54,298
30134,3,35
30134,87,354
30134,77,143
30134,23,308
30134,48,189
30134,67,366
30134,72,217
30134,0,201
30134,56,437
30134,47,387
74113,17,295
74113,74,29
74113,41,147
74113,60,51
74113,56,72
74113,53,191
74113,50,223
74113,59,85
74113,22,433
74113,100,234
