id,val1,val2
64727,3,195
64727,37,196
64727,93,411
64727,97,185
64727,84,233
64727,65,491
64727,30,73
64727,12,57
64727,93,199
64727,36,50
23158,4,491
23158,0,118
23158,0,347
23158,63,112
23158,68,344
23158,82,37
23158,63,385
23158,84,215
23158,89,473
23158,6,216
82087,8,155
82087,75,138
82087,34,362
82087,68,157
82087,97,218
82087,19,143
82087,79,341
82087,99,289
82087,41,77
82087,92,87
42880,100,127
42880,35,159
42880,30,111
42880,20,430
42880,73,476
42880,10,359
42880,70,38
42880,81,308
42880,71,157
42880,83,445
75291,72,460
75291,82,206
75291,33,334
75291,57,146
75291,4,166
75291,51,337
75291,74,253
75291,99,451
75291,13,97
75291,96,391
