id,val1,val2
64987,21,395
64987,13,274
64987,5,431
64987,64,146
64987,41,8
64987,21,485
64987,28,380
64987,99,382
64987,95,412
64987,98,301
57744,69,111
57744,58,492
57744,76,203
57744,42,456
57744,41,188
57744,57,224
57744,33,499
57744,90,458
57744,50,78
57744,100,490
10182,4,12
10182,81,189
10182,72,447
10182,61,495
10182,43,104
10182,24,313
10182,66,442
10182,81,118
10182,74,484
10182,57,42
37593,89,228
37593,29,491
37593,13,135
37593,30,406
37593,13,280
37593,63,342
37593,35,488
37593,34,52
37593,11,283
37593,53,260
33690,5,429
33690,38,384
33690,55,384
33690,34,37
33690,1,30
33690,70,360
33690,57,478
33690,60,353
33690,86,222
33690,83,298
